,nom_entreprise,titre_offres,description_offres,date_publication,localisation,type_contrat,niveau_etude,niveau_experience,competence,categorie_offre
167,WINDIGITECH,Développeur Python Expérimenté  - Douala,"Pour une mission longue durée, nous recherchons un  Développeur Python expérimenté  à temps plein avec une forte capacité de travailler en full remote. La mission débutera pour 6 mois et possible d’être prolongée en fonction des objectifs. Si vous pensez avoir la compétence, veuillez vous envoyer votre CV.",19.06.2024, Douala & Yaoundé,: CDD & Freelance," Bac+3, Bac+4 & Bac+5 et plus", Expérience entre 2 ans et 5 ans et plus, DIGITAL MARKETING - MARKETING - NEWSLETTERS - SEO,"Marketing, communication Cameroun"
168,LA MAIN ETOILÉE,Cuisinier Fast-food / Restaurant - Yaoundé,"Dans le cadre de l'ouverture prochaine de notre restaurant fast-food situé au Rond-Point Express, quartier Biyem-Assi à Yaoundé, nous recherchons des  professionnels  qualifiés et passionnés pour rejoindre notre équipe dynamique.   1. Recrutement d'un Cuisinier   Nous sommes à la recherche d'un cuisinier talentueux et expérimenté pour préparer des repas grillades et des mets traditionnels africains.   Qualités requises :    Expérience préalable en cuisine, de préférence dans des restaurants ou fast-foods de taille similaire  Maîtrise des techniques de grillades et de préparation de mets traditionnels africains  Capacité à travailler sous pression et à gérer plusieurs commandes simultanément  Créativité et passion...",19.06.2024, Yaoundé,: CDD," Qualification avant bac, Bac, Bac+1, Bac+2, Bac+3, Bac+4 & Bac+5 et plus", Expérience entre 2 ans et 5 ans et plus, DIGITAL MARKETING - MARKETING - NEWSLETTERS - SEO,"Marketing, communication Cameroun"
169,ADVENT SOFT,Développeur Mobile IONIC,La société ADVENT SOFT recrute pour ses besoins de service des  Développeurs d'Applications Mobil e  en   Freelance  expérimentés   en  Ionic .    Missions :     Gérer le développement d'applications mobile.,19.06.2024, Yaoundé,: CDD, Bac+3, Expérience entre 2 ans et 5 ans, DIGITAL MARKETING - MARKETING - NEWSLETTERS - SEO,"Marketing, communication Cameroun"
170,ADVENT SOFT,Stagiaire Support Technique Applicatif - Yaoundé,La société Advent Soft Sarl recrute pour ses besoins un  Stagiaire Support Technique Applicatif  pour un stage professionnel de 06 mois renouvelables.    Missions  :    Assurer le support technique sur l’application Axxentis Scholaris en ligne et sur site aux établissements scolaires  Diagnostiquer et remonter les dysfonctionnements de l’application Axxentis Scholaris décrits par les clients  Installer et former les clients sur le logiciel  Exécuter les patchs chez les clients suite à une mise à jour du logiciel  Réaliser les tests des applications et produire les rapports de tests.,19.06.2024, Yaoundé,: Stage, Bac+2, Débutant < 2 ans, DIGITAL MARKETING - MARKETING - NEWSLETTERS - SEO,"Marketing, communication Cameroun"
171,ADVENT SOFT,Développeur Full Stack Java/Spring/Angular,"La société  ADVENT SOFT  recherche pour ses besoins de service un  Développeur Full Stack   Java/Spring/Angular  sur   Yaoundé.    Mission    :    La modélisation, le développement Back-end des projets auxquels il sera affecté.",19.06.2024, Yaoundé,: CDD, Bac+3, Expérience entre 2 ans et 5 ans, DIGITAL MARKETING - MARKETING - NEWSLETTERS - SEO,"Marketing, communication Cameroun"
172,AMARAL CONSULTING,Commercial - Douala,"Nous sommes à la recherche de  Commerciaux.    Missions /Responsabilités /Activités :    Tâche à effectuer :    Vendre les permis d'étude et de travail pour la canada  Vendre les visas Russie  Vendre les visas Chine  Vendre les visas Biélorusses  Vendre des billets d'avions.   Objectif par semaine : 01 vente minimum.   Documents de candidature    Curriculum Vitae  Photocopie CNI   NB: Gagner de l’argent depuis votre position en nous envoyant des clients / si nous n’avez pas d’espace de travail nous vous fournirons un gratuitement, climatisé avec Wifi disponible",18.06.2024, Bafoussam - Bamenda - Bertoua - Buéa - Douala - Ebolowa - Garoua,: Freelance - Temps partiel," Bac, Bac+1, Bac+2, Bac+3, Bac+4 - Bac+5 et plus"," Etudiant, jeune diplômé et plus", DIGITAL MARKETING - MARKETING - NEWSLETTERS - SEO,"Marketing, communication Cameroun"
173,RODEC CAMEROUN,QA Engineer,"You are  :  A detail oriented, organized QA to join our awesome IT team. Working closely with our dev team, you will be ensuring that each solution developed is going to hit our production environment shining and glimmering with your QA Perfection Dust. Activities in this role include analyzing non-functional requirements and technical designs, translating functional requirements into test cases, and identifying defects and driving them to resolution.  Ideal candidates will possess a drive for thinking creatively to resolve complex problems and enjoy contributing to solutions.    What you'll be doing  :   Contribute to the development of the test strategy and maintain it  Identify test requirements from the...",18.06.2024, Bafoussam - Bamenda - Bertoua - Buéa - Douala - Ebolowa - Garoua,: CDI, Bac+3, Expérience entre 2 ans et 5 ans, DIGITAL MARKETING - MARKETING - NEWSLETTERS - SEO,"Marketing, communication Cameroun"
174,RODEC CAMEROUN,Content Writers (French and English),"What you'll be doing  :    Produce high quality content & incorporate SEO best practices  Contribute to and lead the writing of Online Gambling related content such as social media, reviews, news posts, newsletters etc.  Edit, proofread and publish the content  Take charge in developing an editorial calendar  Oversee and manage web publications by continuous improvement of its style, content and layout  Operate efficiently in a fast-paced, deadline-driven environment, working on multiple tasks with a variety of departments, divisions, and team member's involvement.     What we are offering  :    Attractive financial package   Friday, get  together.",18.06.2024, Bafoussam - Bamenda - Bertoua - Buéa - Douala - Ebolowa - Garoua,: CDI, Bac+2, Débutant < 2 ans, DIGITAL MARKETING - MARKETING - NEWSLETTERS - SEO,"Marketing, communication Cameroun"
175,OPTIMUM INTERIM,Créateur/créatrice de Blogs - Télétravail,"Poste proposé : Créateur/créatrice de Blogs   Nous cherchons un profil de créateur ou créatrice de blogs pour des sites internet WordPress en télétravail :   Il faut bien maitriser WordPress, vous devrez implémenter vous-mêmes les blogs sur les sites WordPress  Il faut bien avoir des notions de Seo, pour faire des blogs utiles au référencement Google  Vous devrez créer des blogs  On fournit des centaines de sujets  On fournit Chat Gpt4 payant  On fournit des paraphraseurs  On fournit Canva Pro  On rémunère un euro du blog, il n'y a pas de limites de créations de blogs, il y a des dizaines de sites à alimenter  Il y aura aussi la possibilité de gérer des réseaux sociaux  Les sites sont destinés à une...",21.06.2024, Bafoussam - Bamenda - Bertoua - Buéa - Douala - Ebolowa - Garoua,: Freelance," Bac, Bac+1, Bac+2, Bac+3, Bac+4 - Bac+5 et plus", Débutant < 2 ans et plus, DIGITAL MARKETING - MARKETING - NEWSLETTERS - SEO,Métiers de la santé et du social Cameroun
176,YANOU I HOLDINGS SARL,Stagiaire Assistant Technique/Commercial - Douala,"Ses responsabilités sont comme suit :   Être présentable et courtois(e)  Représenter la structure par appels et courriels  Représenter la structure dans certaines missions/réunions.  Piloter les tâches relatives aux plateformes (rédaction de contenu, tests, support)  Assister aux travaux de communication  Être Disponible lorsque c’est nécessaire  Être diligent(e) et savoir prendre des initiatives  Assister à l’organisation et à l’entretien des bureaux.",21.06.2024, Douala,: Stage, Bac+2," Etudiant, jeune diplômé", DIGITAL MARKETING - MARKETING - NEWSLETTERS - SEO,Métiers de la santé et du social Cameroun
177,ETUIDER EN FRANCE - ETEF,Business Manager & Responsable d´Agence - Douala,Nous sommes à la recherche d'un  Business Manager & Responsable d'Agence.     Missions :     Veillez au bon déroulement des tâches des membres de votre équipe  Prospection des universités africaines et agence  Formateur  Développement commerciale de l’entreprise  Avoir de bonne capacité d’adaptation et un bon sens du relationnel  Comprendre et améliorer nos process et procédures internes en place  Contribuer à développer un esprit d’équipe.,21.06.2024, Bafoussam - Bamenda - Bertoua - Buéa - Douala - Ebolowa - Garoua,: CDD," Bac+3, Bac+4 - Bac+5 et plus", Expérience entre 2 ans et 5 ans et plus, DIGITAL MARKETING - MARKETING - NEWSLETTERS - SEO,Métiers de la santé et du social Cameroun
178,L'HÔTEL LA VALLEE DE BANA,DJ - Bana,"Le  DJ  a pour mission d’animer les soirées du mythe. Le DJ doit assurer le show musical lors d’un évènement à l’hôtel. Plus qu'un simple programmateur de titres, le DJ doit être capable d'adapter ses choix musicaux en fonction du public de l’hôtel.",21.06.2024, Bafoussam,": CDI, CDD & Stage", Bac, Expérience entre 2 ans et 5 ans, DIGITAL MARKETING - MARKETING - NEWSLETTERS - SEO,Métiers de la santé et du social Cameroun
179,KEMETHOME,Commercial - Yaoundé,"Mission :    Sous la supervision d'un responsable commercial, vendre des biens immobiliers suivant les processus de l’entreprise et assurer le service après-vente.    Description         Présenter les offres aux prospects fournis par l'entreprise      Accompagner les prospects jusqu’à l’achat      Présenter les biens aux clients (Visite de site)      Gérer les demandes et réclamations des clients      Se former de manière continue aux techniques de vente      Proposer de manière continue des améliorations aux processus de vente      Prospecter par soi-même.",21.06.2024, Bafoussam - Bamenda - Bertoua - Buéa - Douala - Ebolowa - Garoua,: CDI," Bac+3, Bac+4 - Bac+5 et plus"," Etudiant, jeune diplômé et plus", DIGITAL MARKETING - MARKETING - NEWSLETTERS - SEO,Métiers de la santé et du social Cameroun
180,L'HÔTEL LA VALLEE DE BANA,BARMAN - BANA,"L’hôtel LA VALLEE DE BANA recrute un  BARMAN , Le Barman est celui qui tient le bar de l'établissement. Il élabore des cocktails, imagine de nouvelles créations, fidéliser ses clients et créé une atmosphère chaleureuse adaptée à l'établissement et contribue ainsi à sa renommée.  Le Barman véhicule l’image de l’hôtel par son attitude exemplaire, son accueil chaleureux et convivial, son professionnalisme et sa disponibilité.",21.06.2024, Bafoussam,": CDI, CDD & Stage", Bac, Expérience entre 2 ans et 5 ans, DIGITAL MARKETING - MARKETING - NEWSLETTERS - SEO,Métiers de la santé et du social Cameroun
181,CABINET LA RESERVE,Commercial  - Yaoundé,Recherche les victimes d'accident de la voie publique  Rendre compte de son activité  Assurer la bonne communication entre les clients et le cabinet  Ouvrir le dossier des victimes et s'assurer de la bonne continuité de dossier tout au long de la procédure  Promouvoir l'offre de service du cabinet.,21.06.2024, Yaoundé,: CDI, Bac," Etudiant, jeune diplômé", DIGITAL MARKETING - MARKETING - NEWSLETTERS - SEO,Métiers de la santé et du social Cameroun
182,AFREETECH,Responsable Administratif et Financier - Yaoundé,"Le  responsable administratif et financier  est un professionnel chargé de superviser et de coordonner les activités administratives et financières au sein d’une entreprise. Il assure la gestion financière, le contrôle budgétaire, la gestion administrative et le suivi des obligations légales. Le responsable administratif et financier recherché doit avoir des compétences en gestion financière, contrôle budgétaire, gestion administrative, reporting et communication, gestion des obligations légales.   Il aura pour missions :    De coordonner la comptabilité, la gestion des fonds et la trésorerie ;  De superviser les déclarations comptables et fiscales ;  D'élaborer les budgets et réaliser les reportings ;  De proposer une...",21.06.2024, Yaoundé,: CDI, Bac+5 et plus, Expérience entre 2 ans et 5 ans et plus, DIGITAL MARKETING - MARKETING - NEWSLETTERS - SEO,Métiers de la santé et du social Cameroun
183,INGENIO TECH,Responsable Commercial - Douala,"Participer à la définition de la politique commerciale de l'entreprise, à partir de la stratégie de l'entreprise  Fixer les objectifs et les axes prioritaires  Diriger et accompagner l'équipe commerciale  Promouvoir l'image et la notoriété de l'entreprise  Participer à la négociation sur certains comptes stratégiques  Être attentif aux évolutions du marché et aux offres de la concurrence afin d'adapter en permanence les offres de l'entreprise  Reporter à la Direction  Recruter et former l'équipe commerciale  Assurer l'interface avec les autres services de l'entreprise  Conduite de la politique commerciale   Animation et développement d'une...",20.06.2024, Douala,: CDD, Bac+5 et plus, Expérience entre 5 ans et 10 ans & Expérience > 10 ans, DIGITAL MARKETING - MARKETING - NEWSLETTERS - SEO,Métiers de la santé et du social Cameroun
